id,root_site_name,fieldName,selector
1,zing,TITLE,//h1/text()
2,zing,ABSTRACT,//section[1]/p[1]/text()
3,zing,CONTENT,"//div[contains(@class,'the-article-body')]"
4,zing,DATA_TIME,//header/ul/li[2]/text()
5,zing,AUTHOR,//header/ul/li[1]/a/text()
6,zing,TAGS,//article/section[1]/p[2]/*[self::strong or self::a ]/text()
7,vietnamplus,TITLE,//div[1]/h1/text()
8,vietnamplus,ABSTRACT,//div[@class='details__header']/h1/text()
9,vietnamplus,CONTENT,"//div[contains(@class,'article-body')]"
10,vietnamplus,DATA_TIME,//div[@class='source']/time/text()
11,vietnamplus,AUTHOR,//span[@class='cms-author']/text()
12,vietnamplus,TAGS,//div[1]/div[3]/a/text()
13,baotintuc,TITLE,//h1/text()
14,baotintuc,ABSTRACT,//div[1]/div[3]/h2/text()
15,baotintuc,CONTENT,"//div[contains(@class,'contents')]"
16,baotintuc,DATA_TIME,//div[2]/div[1]/span/text()
17,baotintuc,AUTHOR,//div[2]/strong/text()
18,baotintuc,TAGS,//div[@class='tags']/a/text()
19,vov,TITLE,//div[3]/div/span/text()
20,vov,ABSTRACT,//h4/div/text()
21,vov,CONTENT,"//div[contains(@class,'article-content')]"
22,vov,DATA_TIME,//article/div[4]/div[1]/text()
23,vov,AUTHOR,"//div[@class=""row article-author""]/div/text()"
24,vov,TAGS,//article/div[8]/div/div/a/text()
25,vtv,TITLE,//h1/text()
26,vtv,AUTHOR,//span[@class='author']/text()
27,vtv,DATA_TIME,//div[@class='time-value']/text()
28,vtv,CONTENT,"//div[contains(@class,'entry-body')]"
29,vtv,ABSTRACT,//h2[@class='detail-post--except-text']/text()
30,vtv,TAGS,//div[@class='new-tags']/ul/li/a/text()
31,vnexpress,TITLE,//h1/text()
32,vnexpress,DATA_TIME,//span[@class='date']/text()
33,vnexpress,ABSTRACT,//section[4]/div/div[2]/p/text()
34,vnexpress,CONTENT,//article
35,vnexpress,AUTHOR,//p[9]/strong/text()
36,Báo chính ph?,TITLE,//h1/text()
37,Báo chính ph?,ABSTRACT,//div[@class='summary']/p/text()
38,Báo chính ph?,CONTENT,"//div[contains(@class,'article-body')]"
39,Báo chính ph?,DATA_TIME,//p[@class='meta']/text()
40,Báo chính ph?,TAGS,//span[@class='word']/a/text()
41,C?ng thông tin ?i?n t? ?ài truy?n hình vi?t nam,TITLE,//h1/text()
42,C?ng thông tin ?i?n t? ?ài truy?n hình vi?t nam,DATA_TIME,//div[@class='time-detail']/div[@class='pull-left']/text()[3]
43,C?ng thông tin ?i?n t? ?ài truy?n hình vi?t nam,AUTHOR,"//div[@class=""pull-left""]/b/text()"
44,C?ng thông tin ?i?n t? ?ài truy?n hình vi?t nam,CONTENT,"//div[contains(@class,'detail-news')]"
45,B? công an,CONTENT,//div[@class='detail']
46,B? công an,TITLE,//h1/text()
47,B? công an,ABSTRACT,//div[2]/div/div[1]/div[1]/div/div[1]/div/div[2]/div[2]/text()
48,B? công an,DATA_TIME,//div[2]/div/div[1]/div[1]/div/div[1]/div/div[2]/div[1]/div[1]/text()
49,B? công an,AUTHOR,//div[2]/div[5]/text()
50,B? ngo?i giao,TITLE,//b/span/text()
51,B? ngo?i giao,CONTENT,//div[@class='plain']
52,B? t? pháp,TITLE,//h1/text()
53,B? t? pháp,ABSTRACT,//div[2]/div[2]/div/div[3]/text()
54,B? t? pháp,CONTENT,//div[@class='news-content box-content-news-detail']
55,B? t? pháp,DATA_TIME,//div[2]/div[2]/div/span/text()
56,B? t? pháp,AUTHOR,//div[2]/strong/text()
57,C? s? d? li?u qu?c gia v? v?n b?n pháp lu?t,CONTENT,//tbody/tr/td/div/b/text() | //table[1]/tbody/tr/td/div[3]/text() | //div[3]/i/text() | //div[2]/p/*[self::strong or self::em]/text() | //div[2]/p/text() | //td/p/strong/text() |  //div[3]/table/tbody
58,kenh14,TITLE,//h1/text()
59,kenh14,ABSTRACT,//h2/text()
60,kenh14,DATA_TIME,//div[2]/span[3]/text()
61,kenh14,TAGS,//div[2]/ul/li/a/text()
62,kenh14,AUTHOR,//span[2]/a |  //div[2]/div/div/div[1]/div[1]/div[2]/span[1]/text()
63,kenh14,CONTENT,//div[@class='knc-content']
64,B? Lao ??ng – Th??ng binh và Xã h?i,TITLE,//div[1]/h1/text()
65,B? Lao ??ng – Th??ng binh và Xã h?i,ABSTRACT,//div[3]/p[1]/text()
66,B? Lao ??ng – Th??ng binh và Xã h?i,DATA_TIME,//div[1]/p/text()
