id,siteName,siteLink,page_param,article_link,page_param_rule
1,Bóng ?á Vi?t Nam,https://zingnews.vn/bong-da-viet-nam.html,https://zingnews.vn/bong-da-viet-nam/trang[NEXT_PAGE].html,//section/section/div/article/header/p[1]/a,
2,Bóng ?á Anh,https://zingnews.vn/bong-da-anh.html,https://zingnews.vn/bong-da-anh/trang[NEXT_PAGE].html,//section/section/div/article/header/p[1]/a,
3,Võ thu?t,https://zingnews.vn/vo-thuat.html,https://zingnews.vn/vo-thuat/trang[NEXT_PAGE].html,//section/section/div/article/header/p[1]/a,
4,eSports,https://zingnews.vn/esports-the-thao.html,https://zingnews.vn/esports-the-thao/trang[NEXT_PAGE].html,//section/section/div/article/header/p[1]/a,
5,Sao,https://zingnews.vn/sao-viet.html,https://zingnews.vn/sao-viet/trang[NEXT_PAGE].html,//section/section/div/article/header/p[1]/a,
6,Âm nh?c,https://zingnews.vn/am-nhac.html,https://zingnews.vn/am-nhac/trang[NEXT_PAGE].html,//section/section/div/article/header/p[1]/a,
7,Phim ?nh,https://zingnews.vn/phim-anh.html,https://zingnews.vn/phim-anh/trang[NEXT_PAGE].html,//section/section/div/article/header/p[1]/a,
8,Th?i trang,https://zingnews.vn/thoi-trang.html,https://zingnews.vn/thoi-trang/trang[NEXT_PAGE].html,//section/section/div/article/header/p[1]/a,
9,Gi?i tr?,https://zingnews.vn/gioi-tre.html,https://zingnews.vn/gioi-tre/trang[NEXT_PAGE].html,//section/section/div/article/header/p[1]/a,
10,Xu h??ng,https://zingnews.vn/xu-huong.html,https://zingnews.vn/xu-huong/trang[NEXT_PAGE].html,//section/section/div/article/header/p[1]/a,
11,S?ng ??p,https://zingnews.vn/song-dep.html,https://zingnews.vn/song-dep/trang[NEXT_PAGE].html,//section/section/div/article/header/p[1]/a,
12,S? ki?n,https://zingnews.vn/su-kien.html,https://zingnews.vn/su-kien/trang[NEXT_PAGE].html,//section/section/div/article/header/p[1]/a,
13,Tuy?n sinh 2020,https://zingnews.vn/tuyen-sinh-dai-hoc-2020.html,https://zingnews.vn/tuyen-sinh-dai-hoc-2020/trang[NEXT_PAGE].html,//section/section/div/article/header/p[1]/a,
14,T? v?n,https://zingnews.vn/tu-van-giao-duc.html,https://zingnews.vn/tu-van-giao-duc/trang[NEXT_PAGE].html,//section/section/div/article/header/p[1]/a,
15,Du h?c,https://zingnews.vn/du-hoc.html,https://zingnews.vn/du-hoc/trang[NEXT_PAGE].html,//section/section/div/article/header/p[1]/a,
16,H?c Ti?ng Anh,https://zingnews.vn/tieu-diem/hoc-tieng-anh.html,https://zingnews.vn/tieu-diem/hoc-tieng-anh/trang[NEXT_PAGE].html,//section/section/div/article/header/p[1]/a,
17,??a ?i?m du l?ch,https://zingnews.vn/dia-diem-du-lich.html,https://zingnews.vn/dia-diem-du-lich/trang[NEXT_PAGE].html,//section/section/div/article/header/p[1]/a,
18,Kinh nghi?m du l?ch,https://zingnews.vn/kinh-nghiem-du-lich.html,https://zingnews.vn/kinh-nghiem-du-lich/trang[NEXT_PAGE].html,//section/section/div/article/header/p[1]/a,
19,?m th?c,https://zingnews.vn/am-thuc.html,https://zingnews.vn/am-thuc/trang[NEXT_PAGE].html,//section/section/div/article/header/p[1]/a,
20,Ph??t,https://zingnews.vn/phuot.html,https://zingnews.vn/phuot/trang[NEXT_PAGE].html,//section/section/div/article/header/p[1]/a,
21,Ôtô,https://zingnews.vn/oto.html,https://zingnews.vn/oto/trang[NEXT_PAGE].html,//section/section/div/article/header/p[1]/a,
22,Xe máy,https://zingnews.vn/xe-may.html,https://zingnews.vn/xe-may/trang[NEXT_PAGE].html,//section/section/div/article/header/p[1]/a,
23,?ánh giá,https://zingnews.vn/danh-gia.html,https://zingnews.vn/danh-gia/trang[NEXT_PAGE].html,//section/section/div/article/header/p[1]/a,
24,Xe th? thao,https://zingnews.vn/xe-the-thao.html,https://zingnews.vn/xe-the-thao/trang[NEXT_PAGE].html,//section/section/div/article/header/p[1]/a,
25,Chính tr?,https://zingnews.vn/chinh-tri.html,https://zingnews.vn/chinh-tri/trang[NEXT_PAGE].html,//section/section/div/article/header/p[1]/a,
