siteName,categoryNew,categoryOrigin
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fpolitics%2Fsenate&size=20&offset=0,politic,Senate
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fpolitics%2Fhouse-of-representatives&size=20&offset=0,politic,House-of-representatives
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fpolitics%2Fexecutive&size=20&offset=0,politic,Executive
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fpolitics%2Fforeign-policy&size=20&offset=0,politic,Foreign-policy
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fcolumns%2Ffox-news-poll&size=20&offset=0,politic,Poll
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fpolitics%2Felections&size=20&offset=0,politic,Elections
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fpolitics%2Fjudiciary&size=20&offset=0,politic,Judiciary
https://www.reuters.com/news/archive/politicsnews?view=page&page=1&pageSize=10,politic,Politic-news
https://www.cnbc.com/europe-politics/?page=1,politic,Europe-politics
https://www.cnbc.com/defense/?page=1,politic,Defense
https://www.cnbc.com/policy/?page=1,politic,Policy
https://www.cnbc.com/china-politics/?page=1,politic,China-politics
https://www.cnbc.com/white-house/?page=1,politic,White-house
https://www.cnbc.com/congress/?page=1,politic,Congress
https://www.cnbc.com/2020-elections/?page=1,politic,2020-elections
https://www.cnbc.com/asia-politics/?page=1,politic,Asia-politics
https://www.globaltimes.cn/china/politics/?page=1,politic,Politics
https://www.globaltimes.cn/china/diplomacy/?page=1,politic,Diplomacy
https://www.globaltimes.cn/china/military/?page=1,politic,Military
https://www.japantimes.co.jp/sports/soccer/page/1/,sports,Soccer
https://www.japantimes.co.jp/news/business/page/1,sports,Buniess
https://www.japantimes.co.jp/sports/rugby/page/1/,sports,Rugby
https://www.japantimes.co.jp/sports/sumo/page/1/,sports,Sumo
https://www.japantimes.co.jp/sports/basketball/page/1/,sports,Basketball
https://www.japantimes.co.jp/sports/figure-skating/page/1/,sports,Figure-Skating
https://www.japantimes.co.jp/sports/tennis/page/1/,sports,Tennis
https://www.japantimes.co.jp/sports/more-sports/page/1/,sports,More-sports
https://www.japantimes.co.jp/sports/olympics/page/1/,sports,Olympics
https://www.japantimes.co.jp/sports/baseball/page/1/,sports,Baseball
https://www.reuters.com/news/archive/icehockey-nhl?view=page&page=1&pageSize=10,sports,Icehockey
https://www.reuters.com/news/archive/esports?view=page&page=1&pageSize=10,sports,Esports
https://www.reuters.com/news/archive/baseball-mlb?view=page&page=1&pageSize=10,sports,Baseball
https://www.reuters.com/news/archive/sport-sailing?view=page&page=1&pageSize=10,sports,Sailing
https://www.reuters.com/news/archive/sport-golf?view=page&page=1&pageSize=10,sports,Golf
https://www.reuters.com/news/archive/sport-tennis?view=page&page=1&pageSize=10,sports,Tennis
https://www.reuters.com/news/archive/football-nfl?view=page&page=1&pageSize=10,sports,Football
https://www.reuters.com/news/archive/sport-f1?view=page&page=1&pageSize=10,sports,F1
https://www.reuters.com/news/archive/soccer-spain?view=page&page=1&pageSize=10,sports,Soccer
https://www.reuters.com/news/archive/sport-cricket?view=page&page=1&pageSize=10,sports,Cricket
https://www.reuters.com/news/archive/soccer-champions?view=page&page=1&pageSize=10,sports,Soccer-Champion
https://www.reuters.com/news/archive/soccer-brazil?view=page&page=1&pageSize=10,sports,Soccer-Brazil
https://www.reuters.com/news/archive/sport-nascar?view=page&page=1&pageSize=10,sports,Nascar
https://www.reuters.com/news/archive/soccer-germany?view=page&page=1&pageSize=10,sports,Soccer-Germany
https://www.reuters.com/news/archive/soccer-usa?view=page&page=1&pageSize=10,sports,Soccer-USA
https://www.reuters.com/news/archive/sport-athletics?view=page&page=1&pageSize=10,sports,Athletics
https://www.reuters.com/news/archive/soccer-mexico?view=page&page=1&pageSize=10,sports,Soccer-Mexico
https://www.reuters.com/news/archive/soccer-italy?view=page&page=1&pageSize=10,sports,Soccer-Italy
https://www.reuters.com/news/archive/soccer-france?view=page&page=1&pageSize=10,sports,Soccer-France
https://www.reuters.com/news/archive/basketball-nba?view=page&page=1&pageSize=10,sports,Basketball
https://www.reuters.com/news/archive/soccer-england?view=page&page=1&pageSize=10,sports,Soccer-England
https://www.globaltimes.cn/sport/?page=1,sports,Sport
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fus%2Feconomy&size=20&offset=0,business,Economy
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fworld%2Fglobal-economy&size=20&offset=0,business,Global-economy
https://www.reuters.com/news/archive/bank-news?view=page&page=1&pageSize=10,business,Finance
https://www.reuters.com/news/archive/esgnews?view=page&page=1&pageSize=10,business,Sustainable Business
https://www.reuters.com/news/archive/autos-upclose?view=page&page=1&pageSize=10,business,Autos
https://www.reuters.com/news/archive/rcomus_energy?view=page&page=1&pageSize=10,business,Energy
https://www.reuters.com/news/archive/change-suite?view=page&page=1&pageSize=10,business,Change Suite
https://www.reuters.com/news/archive/environmentnews?view=page&page=1&pageSize=10,business,Environment
https://www.reuters.com/news/archive/retail?view=page&page=1&pageSize=10,business,Retail
https://www.reuters.com/news/archive/rcom-media-telecoms?view=page&page=1&pageSize=10,business,Media & Telecoms
https://www.reuters.com/news/archive/bigstory13?view=page&page=1&pageSize=10,business,Reuters Next
https://www.reuters.com/news/archive/healthnews?view=page&page=1&pageSize=10,business,Healthcare
https://www.reuters.com/news/archive/aerospace-defense?view=page&page=1&pageSize=10,business,Aerospace
https://www.reuters.com/news/archive/personalfinance?view=page&page=1&pageSize=10,business,Personal-finance
https://www.cnbc.com/retail/?page=1,business,Retail
https://www.cnbc.com/life/?page=1,business,Life
https://www.cnbc.com/industrials/?page=1,business,Industrials
https://www.cnbc.com/wealth/?page=1,business,Wealth
https://www.cnbc.com/health-and-science/?page=1,business,Health-and-science
https://www.cnbc.com/transportation/?page=1,business,Transportation
https://www.cnbc.com/small-business/?page=1,business,Small-business
https://www.cnbc.com/finance/?page=1,business,Finance
https://www.cnbc.com/economy/?page=1,business,Economy
https://www.cnbc.com/real-estate/?page=1,business,Real-estate
https://www.cnbc.com/energy/?page=1,business,Energy
https://www.globaltimes.cn/source/economy/?page=1,business,Economy
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fnews-events%2Ffox-news-investigates&size=20&offset=0,business,Fox-news-investigates
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Freal-estate&size=20&offset=0,business,House+Home
https://www.reuters.com/news/archive/marketsNews?view=page&page=1&pageSize=10,business,Markets
https://www.cnbc.com/world-markets/?page=1,business,World Markets
https://www.cnbc.com/china-markets/?page=1,business,China Markets
https://www.cnbc.com/earnings/?page=1,business,Earnings
https://www.cnbc.com/trader-talk/?page=1,business,Trader-talk
https://www.cnbc.com/financial-advisors/?page=1,business,Financial-advisors
https://www.cnbc.com/options-action/?page=1,business,Options-action
https://www.cnbc.com/trading-nation/?page=1,business,Trading-nation
https://www.cnbc.com/fintech/?page=1,business,Fintech
https://www.cnbc.com/invest-in-you/?page=1,business,Invest-in-you
https://www.cnbc.com/personal-finance/?page=1,business,Personal-finance
https://www.cnbc.com/world-markets/?page=1,business,World Markets
https://www.cnbc.com/china-markets/?page=1,business,China Markets
https://www.japantimes.co.jp/news/world/page/1/,world,World
https://www.japantimes.co.jp/news/asia-pacific/page/1/,world,Asia-pacific
https://www.japantimes.co.jp/news/reference/page/1/,world,Reference
https://www.japantimes.co.jp/news/national/page/1/,world,National
https://www.reuters.com/news/archive/china-news?view=page&page=1&pageSize=10,world,China-news
https://www.reuters.com/news/archive/domesticnews?view=page&page=1&pageSize=10,world,Domestic-news
https://www.reuters.com/news/archive/middle-east?view=page&page=1&pageSize=10,world,Middle-East
https://www.reuters.com/news/archive/greatreboot?view=page&page=1&pageSize=10,world,Greatreboot
https://www.reuters.com/news/archive/rcom-apac?view=page&page=1&pageSize=10,world,Rcom-apac
https://www.reuters.com/news/archive/americas-test-2?view=page&page=1&pageSize=10,world,Americas
https://www.reuters.com/news/archive/india-only?view=page&page=1&pageSize=10,world,India
https://www.reuters.com/news/archive/ukdomestic?view=page&page=1&pageSize=10,world,Ukdomestic
https://www.reuters.com/news/archive/rcom-europe?view=page&page=1&pageSize=10,world,Europe
https://www.globaltimes.cn/world/mid-East/?page=1,world,Mid-East
https://www.globaltimes.cn/world/africa/?page=1,world,Africa
https://www.globaltimes.cn/world/cross-borders/?page=1,world,Cross-borders
https://www.globaltimes.cn/world/europe/?page=1,world,Europe
https://www.globaltimes.cn/world/eye-on-world/?page=1,world,Eye-on-world
https://www.globaltimes.cn/world/asia-pacific/?page=1,world,Asia-pacific
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fworld%2Funited-nations&size=10&offset=0,world,
https://www.cnbc.com/world/?page=1,world,
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Ftech%2Ftopics%2Fsecurity&size=20&offset=0,technology,Security
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Ftech%2Ftopics%2Fmilitary-tech&size=20&offset=0,technology,Military-tech
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Ftech%2Ftopics%2Finnovation&size=20&offset=0,technology,Innovation
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Ftech%2Ftechnologies%2Fdrones&size=20&offset=0,technology,Drones
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Ftech%2Ftopics%2Fvideo-games&size=20&offset=0,technology,Video-games
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Ftech%2Ftopics%2Fcomputers&size=20&offset=0,technology,Computers
https://www.reuters.com/news/archive/technologynews?view=page&page=1&pageSize=10,technology,Technology
https://www.cnbc.com/venture-capital/?page=1,technology,Venture-capital
https://www.cnbc.com/cybersecurity/?page=1,technology,Cybersecurity
https://www.cnbc.com/enterprise/?page=1,technology,Enterprise
https://www.cnbc.com/internet/?page=1,technology,Internet
https://www.cnbc.com/mobile/?page=1,technology,Mobile
https://www.cnbc.com/media/?page=1,technology,Media
https://www.cnbc.com/social-media/?page=1,technology,Social-media
https://www.cnbc.com/tech-guide/?page=1,technology,Tech-guide
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fscience%2Farchaeology&size=20&offset=0,science,Archaology
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fscience%2Fair-and-space&size=20&offset=0,science,Air and space
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fscience%2Fplanet-earth&size=20&offset=0,science,Planet-earth
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fscience%2Fwild-nature&size=20&offset=0,science,Wild-nature
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fscience%2Fnatural-science&size=20&offset=0,science,Natural-science
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fscience%2Farchaeology%2Fdinosaurs&size=20&offset=0,science,Dinosaur
https://www.reuters.com/news/archive/sciencenews?view=page&page=1&pageSize=10,science,Science
https://www.globaltimes.cn/china/science/?page=1,science,Science
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fhealth%2Fhealthy-living&size=20&offset=0,health,Healthy-Living
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fhealth%2Finfectious-disease%2Fcoronavirus&size=20&offset=0,health,Coronavirus
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fhealth%2Fmedical-research&size=20&offset=0,health,Medical-research
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fhealth%2Fmental-health&size=20&offset=0,health,Mental-health
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fhealth%2Fcancer&size=20&offset=0,health,Cancer
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fhealth%2Fheart-health&size=20&offset=0,health,Heart-health
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fhealth%2Fhealthy-living%2Fchildrens-health&size=20&offset=0,health,Childrens-health
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fus%2Feducation&size=20&offset=0,life,Education
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fus%2Fterror&size=20&offset=0,life,Terror
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fus%2Fimmigration&size=20&offset=0,life,Immigration
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fus%2Fpersonal-freedoms&size=10&offset=0,life,Personal-freedoms
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fus%2Fcrime&size=10&offset=0,life,
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fworld%2Fconflicts&size=20&offset=0,life,Conflict
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fworld%2Fterrorism&size=20&offset=0,life,Terrorism
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fworld%2Fdisasters&size=20&offset=0,life,Disaster
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fworld%2Fenvironment&size=20&offset=0,life,Environment
